locationID,Latitude,Longtitude
AAM,-24.80833333,31.54166667
AAM,-24.81694444,31.54416667
AAN,24.26166667,55.60916667
AAN,24.26194444,55.6075
AAN,24.26166667,55.60916667
AAO,9.43194444,-64.46388889
AAO,9.43027778,-64.47083333
AAO,9.43,-64.47083333
AAO,9.43027778,-64.47083333
AAO,9.43,-64.47083333
AAQ,44.9,37.31666667
AAQ,45.00222222,37.34722222
AAQ,45.00222222,37.34722222
AAQ,45.00222222,37.34722222
AAR,56.31027778,10.61805556
AAR,56.30388889,10.62
AAR,56.3,10.61888889
AAU,-13.51666667,-172.65
AAX,-19.56805556,-46.92916667
AAX,-19.56333333,-46.96027778
ABA,53.74,91.385
ABA,53.74,91.385
ABA,53.74,91.38527778
ABD,30.36611111,48.23222222
ABD,30.36611111,48.23222222
ABD,30.36527778,48.23305556
ABE,40.65472222,-75.43833333
ABE,40.65222222,-75.44027778
ABE,40.65222222,-75.44055556
ABE,40.65222222,-75.44027778
ABE,40.65222222,-75.44055556
ABI,32.40944444,-99.67972222
ABI,32.41111111,-99.68166667
ABI,32.41138889,-99.68194444
ABJ,5.25555556,-3.92916667
ABJ,5.26138889,-3.92583333
ABJ,5.26138889,-3.92583333
ABJ,5.26138889,-3.92583333
ABJ,5.26138889,-3.92583333
ABJ,5.26138889,-3.92583333
ABK,6.73388889,44.26611111
ABK,6.73277778,44.24166667
ABK,6.73277778,44.24138889
ABK,6.73277778,44.24166667
ABK,6.73277778,44.24138889
ABL,67.0875,-157.8458333
ABQ,35.04166667,-106.6063889
ABQ,35.04027778,-106.6091667
ABQ,35.03888889,-106.6083333
ABQ,35.04027778,-106.6091667
ABQ,35.03888889,-106.6083333
ABR,45.44972222,-98.42166667
ABR,45.44916667,-98.42194444
ABR,45.44833333,-98.4225
ABR,45.44666667,-98.4225
ABR,45.44916667,-98.42194444
ABR,45.44666667,-98.4225
ABS,22.37222222,31.61527778
ABS,22.37472222,31.60944444
ABS,22.37583333,31.61166667
ABS,22.37472222,31.60944444
ABS,22.37583333,31.61166667
ABT,20.29611111,41.63416667
ABT,20.29611111,41.63416667
ABT,20.29611111,41.63416667
ABT,20.29611111,41.63416667
ABV,9.00555556,7.26611111
ABV,9.00666667,7.26305556
ABV,9.00666667,7.26305556
ABV,9.00666667,7.26305556
ABV,9.00666667,7.26305556
ABX,-36.06833333,146.9766667
ABX,-36.06777778,146.9580556
ABY,31.53222222,-84.19611111
ABY,31.53555556,-84.19444444
ABZ,57.20416667,-2.19861111
ABZ,57.20194444,-2.19777778
ABZ,57.2025,-2.19805556
ABZ,57.20361111,-2.19916667
ABZ,57.20194444,-2.19777778
ABZ,57.20361111,-2.19916667
ACA,16.75555556,-99.76694444
ACA,16.75694444,-99.75388889
ACB,44.98472222,-85.19916667
ACB,44.98861111,-85.19833333
ACC,5.59527778,-0.17083333
ACC,5.60444444,-0.1675
ACE,28.9425,-13.60472222
ACE,28.94555556,-13.60527778
ACH,47.48527778,9.56
ACH,47.485,9.56
ACI,49.70694444,-2.21527778
ACI,49.70611111,-2.21472222
ACI,49.70666667,-2.21444444
ACI,49.70666667,-2.21472222
ACI,49.70611111,-2.21472222
ACI,49.70666667,-2.21472222
ACK,41.25666667,-70.05972222
ACK,41.25305556,-70.06027778
ACK,41.25305556,-70.06
ACK,41.25305556,-70.06027778
ACK,41.25305556,-70.06
ACT,31.61138889,-97.22861111
ACT,31.61222222,-97.23027778
ACU,8.43333333,-77.96666667
ACV,40.97916667,-124.1075
ACV,40.97805556,-124.1086111
ACV,40.97777778,-124.1083333
ACV,40.97777778,-124.1083333
ACV,40.97805556,-124.1086111
ACV,40.97777778,-124.1083333
ACY,39.45611111,-74.57805556
ACY,39.45666667,-74.57777778
ACY,39.4575,-74.57805556
ACY,39.4575,-74.57722222
ADA,36.98361111,35.28083333
ADA,36.98222222,35.28027778
ADB,38.29472222,27.16
ADB,38.29222222,27.15583333
ADC,-7.13611111,145.7441667
ADC,-7.13638889,145.7438889
ADD,8.97805556,38.79944444
ADD,8.97805556,38.79944444
ADE,12.82777778,45.03055556
ADE,12.83444444,45.02888889
ADE,12.82944444,45.02888889
ADJ,31.97222222,35.99
ADJ,31.97222222,35.99
ADJ,31.97277778,35.99166667
ADK,51.88277778,-176.6447222
ADK,51.87805556,-176.6461111
ADK,51.87805556,-176.6458333
ADK,51.88361111,-176.6425
ADK,51.87805556,-176.6461111
ADK,51.88361111,-176.6425
ADL,-34.94833333,138.5347222
ADL,-34.945,138.5305556
ADM,34.30305556,-97.01972222
ADM,34.30416667,-97.02055556
ADM,34.30388889,-97.02055556
ADM,34.30416667,-97.02055556
ADM,34.30388889,-97.02055556
ADN,5.66666667,-75.88333333
ADN,5.69805556,-75.87972222
ADN,5.69777778,-75.88027778
ADN,5.69805556,-75.87972222
ADN,5.69777778,-75.88027778
ADO,-30.43777778,137.1372222
ADQ,57.75,-152.4938889
ADQ,57.74972222,-152.4938889
ADQ,57.75,-152.4938889
ADQ,57.74972222,-152.4938889
ADS,32.96833333,-96.83611111
ADS,32.96861111,-96.83638889
ADT,34.80416667,-96.67111111
ADT,34.80416667,-96.67111111
ADT,34.80416667,-96.67111111
ADT,34.80416667,-96.67111111
ADW,38.81083333,-76.86722222
ADW,38.81083333,-76.86694444
ADW,38.81083333,-76.86694444
ADW,38.81083333,-76.86694444
ADW,38.81083333,-76.86694444
ADX,56.37277778,-2.86833333
ADX,56.37277778,-2.86861111
ADX,56.37416667,-2.86861111
ADX,56.37277778,-2.86833333
ADX,56.37416667,-2.86861111
ADZ,12.58333333,-81.7
ADZ,12.58305556,-81.71166667
ADZ,12.58361111,-81.71138889
AE1,23.65138889,53.82333333
AE2,24.52444444,54.97611111
AED,58.03333333,-152.9
AEG,1.4,99.43055556
AEH,13.85138889,20.85083333
AEH,13.84694444,20.84361111
AEH,13.8475,20.84333333
AEO,16.70916667,-9.63555556
AEO,16.71138889,-9.63777778
AEP,-34.55888889,-58.41583333
AEP,-34.55916667,-58.41583333
AER,43.45,39.93333333
AER,43.45,39.93333333
AES,62.5625,6.10527778
AES,62.56111111,6.11416667
AES,62.56027778,6.11027778
AET,66.56166667,-152.6583333
AET,66.55194444,-152.6222222
AEX,31.32416667,-92.54694444
AEX,31.3275,-92.54861111
AEY,65.65694444,-18.07222222
AEY,65.66,-18.07277778
AEY,65.65666667,-18.07194444
AEY,65.66,-18.07277778
AEY,65.65666667,-18.07194444
AF1,34.94611111,69.265
AF2,31.85694444,64.22111111
AF2,31.85694444,64.22083333
AF2,31.85027778,64.22361111
AF2,31.85694444,64.22083333
AF2,31.85027778,64.22361111
AF3,31.09194444,64.06694444
AF3,31.08972222,64.06638889
AF3,31.09194444,64.06694444
AF4,33.39222222,62.26111111
AFA,-34.58916667,-68.40055556
AFA,-34.58777778,-68.40333333
AFA,-34.58861111,-68.40277778
AFA,-34.58777778,-68.40361111
AFA,-34.58777778,-68.40333333
AFA,-34.58777778,-68.40361111
AFF,38.96972222,-104.8125
AFF,38.96972222,-104.8127778
AFF,38.97416667,-104.8177778
AFF,38.96972222,-104.8127778
AFF,38.97416667,-104.8177778
AFK,40.60694444,-95.86583333
AFK,40.60555556,-95.86777778
AFK,40.60638889,-95.86666667
AFK,40.60666667,-95.86666667
AFK,40.60555556,-95.86777778
AFK,40.60666667,-95.86666667
AFO,42.71666667,-110.9333333
AFO,42.70888889,-110.9422222
AFP,35.02388889,-80.08138889
AFP,35.02055556,-80.07722222
AFP,35.02055556,-80.07722222
AFP,35.02055556,-80.07722222
AFP,35.02055556,-80.07722222
AFU,25.11583333,51.31527778
AFW,32.98666667,-97.3175
AFW,32.98777778,-97.31888889
AFW,32.9875,-97.31888889
AFW,32.98944444,-97.31944444
AFW,32.98777778,-97.31888889
AFW,32.98944444,-97.31944444
AFW,32.99027778,-97.31944444
AFY,38.735,30.59555556
AFY,38.72638889,30.60111111
AGA,30.38055556,-9.54583333
AGA,30.38138889,-9.54611111
AGB,48.42611111,10.93305556
AGB,48.42444444,10.93222222
AGB,48.42527778,10.93194444
AGC,40.35472222,-79.93
AGC,40.35472222,-79.93
AGC,40.35444444,-79.93027778
AGC,40.35444444,-79.92916667
AGC,40.35444444,-79.93027778
AGC,40.35444444,-79.92916667
AGF,44.17361111,0.59861111
AGF,44.17388889,0.59305556
AGF,44.17388889,0.59305556
AGF,44.17472222,0.59055556
AGF,44.17388889,0.59305556
AGF,44.17472222,0.59055556
AGG,-4.06583333,144.0738889
AGH,56.29305556,12.8625
AGH,56.29583333,12.84972222
AGH,56.29166667,12.855
AGH,56.29111111,12.855
AGH,56.29166667,12.855
AGH,56.29111111,12.855
AGK,-6.40333333,143.8466667
AGL,-9.34027778,149.1552778
AGL,-9.3375,149.1555556
AGN,57.50388889,-134.5833333
AGP,36.67166667,-4.49805556
AGP,36.675,-4.49916667
AGP,36.67972222,-4.49583333
AGP,36.68,-4.49583333
AGP,36.68,-4.49583333
AGP,36.675,-4.49916667
AGP,36.68,-4.49583333
AGP,36.67972222,-4.49583333
AGQ,38.60416667,21.35194444
AGQ,38.60194444,21.35111111
AGR,27.15833333,77.96277778
AGR,27.15777778,77.96083333
AGS,33.36916667,-81.96444444
AGS,33.36916667,-81.96444444
AGS,33.37,-81.96444444
AGT,-25.45555556,-54.84361111
AGU,21.70555556,-102.3177778
AGU,21.70083333,-102.3180556
AGU,21.70555556,-102.3177778
AGV,9.55222222,-69.23333333
AGV,9.55333333,-69.2375
AGX,10.83333333,72.2
AHA,26.19194444,127.6477778
AHB,18.23861111,42.655
AHB,18.24027778,42.65666667
AHB,18.24027778,42.65638889
AHB,18.24027778,42.65666667
AHB,18.24027778,42.65638889
AHD,34.14694444,-97.12277778
AHD,34.14694444,-97.12277778
AHN,33.94833333,-83.32694444
AHN,33.94861111,-83.32638889
AHN,33.94861111,-83.32583333
AHN,33.94861111,-83.32638889
