,0
1B1,1.026050052708633e-07
BDL,0.006093634573740869
ABE,0.0016283067056026648
ACT,0.0006071336815819421
ATL,0.03828952226778187
AVL,0.001552315796601208
AVP,0.0013285974506610048
BGM,0.0007260461277530962
BNA,0.009053760967043127
BUF,0.006928424578480588
BWI,0.014075397761947979
CLE,0.01241878936729867
CLT,0.021727939317790403
CMH,0.009985024094623028
DCA,0.02021157301115661
DTW,0.019662267248638534
EWR,0.019550548602509276
FAY,0.0019649271258883982
FLL,0.01208701957781515
FSD,0.0012753615671669196
FWA,0.0016518853686620452
GSO,0.0044552719823364745
GSP,0.003200894389298678
IAD,0.014303941998208265
ICT,0.0028562362401074017
ILN,0.0005001928643778187
IND,0.011269007908086647
JFK,0.01594000384346917
LGA,0.024144951936558568
MBS,0.0010495109430221912
MCO,0.01875902952298725
MDT,0.003208080019811745
MEM,0.013701759553426429
MKE,0.009516461231961619
MYR,0.002311272383401573
ORD,0.036333939689269686
PGD,1.0584228614199012e-05
PHL,0.02303197572445632
PIT,0.010032733770208442
PVD,0.0050192271971163105
SFB,0.00010191764912533395
SYR,0.004373321118067966
TYS,0.0045437923723796025
ABI,0.0005817240642798367
AMA,0.0012136963546338115
AUS,0.0070202671030878475
DAL,0.0027046715252245874
DFW,0.027462669427907968
GRK,0.001310956648369532
LBB,0.0016545735403016171
MAF,0.000825229196480644
MCI,0.010488272942500687
MSP,0.019813810601446224
OKC,0.004284513068988712
SJT,0.00032388851391599454
SPS,0.0003083665713629409
STJ,6.831789867815425e-07
STL,0.013837567249965656
YKM,0.0001820840200036936
ABQ,0.0052124304838541986
AFW,0.00031746300942983916
ALM,4.132308716768485e-05
AMK,1.8300753993322632e-07
BHM,0.0045628316426317315
BIF,9.122342578693198e-07
BMI,0.001675554811684451
CHA,0.0019985977205936927
CHS,0.004958633237124049
CLL,0.00042330381772656374
CNM,2.8527182350148083e-05
COS,0.0024066787303822956
CRP,0.0012955893256481376
CVN,3.138622195140983e-05
DRO,0.00020465743925610142
EFD,6.13829996058358e-06
ELP,0.003131545092586893
FAT,0.0016964214046594622
FMN,3.7405135878336745e-05
FOE,4.421956454829042e-06
FSM,0.0007574264970963364
GJT,0.0005313581719973922
GTF,0.00046549409757314943
GUP,6.8025943057435356e-06
HOU,0.004857369011912501
IAH,0.019477579384510998
IDA,0.0003467108643353427
JAX,0.007588589374456357
LAR,2.122397647812387e-06
LAS,0.018686309932383106
LAX,0.02210064977220972
LIT,0.0034435271801695
MDW,0.010477827966441994
MHK,0.00023399591982747842
MHR,5.8608523513516966e-05
MTJ,0.00015426255102383982
OAK,0.005584956327844635
OGD,1.7278865996393794e-06
OMA,0.0050225967657480395
PDX,0.007171320483555807
PHX,0.01930110791130956
PVU,2.3001047548298914e-06
RDM,0.0006294352706756553
RNO,0.0032106458575642286
RST,0.0012686449271785251
SAF,7.943104438376468e-05
SAN,0.011465447840268149
SAT,0.006476025925865954
SEA,0.012763264050410042
SFO,0.016848375490863328
SHV,0.0018930268443869747
SJC,0.005835184241268114
SLC,0.012189307402383765
SMF,0.00514328121442509
SNA,0.006846621743028261
SVC,2.7433407827105667e-05
SVN,2.3587646931846743e-06
TCM,2.5946414177800054e-06
TOL,0.0011118543054101082
TPA,0.011511896185480795
TUL,0.003995915970499048
TUS,0.003674047834036364
TX6,9.150376996661316e-08
VGT,5.255231897918221e-07
YIP,3.5693511629396075e-05
ABR,8.31851304192931e-05
PIR,5.85382743606058e-06
ABY,0.0002626654839013707
BFM,8.798866295733577e-05
PBI,0.004728517427814185
SUS,1.1332136120861591e-05
TLH,0.0029211524950089455
VLD,0.0005241372533390364
CAK,0.0025238659847730896
COU,0.00014161765310198557
CSG,0.000542231775873005
DSM,0.004302756195167064
LNK,0.0007451619734766998
LRD,0.0007683226447507055
RDU,0.01234416369363497
ROA,0.0021777582283812598
SWO,2.2472194179976548e-06
ACV,0.0005748598872902755
CEC,0.00010743578445109833
RDD,0.0003077726708700648
TWF,0.0002365850984740363
UKI,1.1003364561493977e-05
ACY,0.0005739542661484978
AGS,0.002010951325831025
ALB,0.004408343631792872
BGR,0.0008883620911296013
BOS,0.0215040977284743
CAE,0.003710439120134929
CHO,0.0012767090976092868
CVG,0.012833736312267509
DAY,0.004945366580206753
ERI,0.000560103499608026
GRB,0.0016706437364457651
GRR,0.003974900142935513
ISO,8.704482531706945e-06
LAN,0.0007019143492502663
MHT,0.0033426843773751553
MIA,0.012424828474348842
MIE,2.114547435464837e-06
MSN,0.00312359095662198
MSY,0.007896242852318335
PGV,0.0003376077364376733
PWM,0.0031133089447093858
RIC,0.006224152974406073
ROC,0.004874729823915359
SBN,0.0015106185840707575
SLN,6.622083671967898e-05
YNG,2.1280667073023705e-06
ADQ,9.855874908320681e-05
ANC,0.003096057007198013
BLI,0.0005045168308530451
ADS,6.143306935340107e-06
BRO,0.0004243840869768016
DRT,0.00013656133271856827
HKY,1.1741157672525317e-07
AEX,0.0012034598931066301
BPT,0.00038739379414751195
BTR,0.0024445556855081894
GFK,0.00037068283235175317
GLH,6.28554044108715e-05
LAW,0.00037680952601709504
MGM,0.0014660267422855534
POB,3.232794018548434e-06
TYR,0.0008114304673326444
BIS,0.0005138896965297683
AGC,2.1322099866658374e-07
GYY,1.631624150844475e-06
GNV,0.000679073492348454
GPT,0.0018478800851490004
HSV,0.0026176695681495413
MCN,0.0006856631289067687
SAV,0.0035799533295972057
AHN,0.0005959242483868401
FYV,3.4034597652426226e-06
LEX,0.003109142853176532
TUP,0.00022574866564637248
ALO,0.00023981652400091602
ART,2.5484000229584494e-05
BTV,0.0030536878808535292
LCK,0.00016545668119487757
LYH,0.0006642353765008559
OGS,2.4634533555265015e-05
PBG,0.00019419778974158345
RUT,0.00022240245861324362
CID,0.003295059066305689
FAR,0.0008487013811018286
FOD,4.33462988167761e-06
HUF,3.4400132549723814e-07
MCW,0.00017720390573647686
MWA,0.00014279298136351238
SGF,0.0021423651433595814
ALW,7.921616544640497e-05
MSO,0.0004035587078527315
PUW,5.376057988292757e-05
GEG,0.0018866917017372566
ANB,2.790497446003543e-07
BFI,0.00022744589753812566
FAI,0.0003018990138215188
HNL,0.0030715417675545044
JNU,0.00020296342637745048
KTN,0.00017940469321368408
MOT,0.0002588646065378449
NKX,9.517001114945951e-07
OGG,0.0015382362530062508
RFD,0.0004969401243451711
AND,2.3982635114290432e-06
CMI,0.0010989239592596209
TCL,3.893681742051625e-06
AOH,0.0
AOO,6.197838016205359e-05
JST,0.00010216430581389853
SCE,0.0007572928017032744
APC,0.0
APF,1.3072870373517274e-08
APN,0.00015361961879101931
FNT,0.002330754834364074
AR1,5.2765589127556374e-08
ARA,2.3887539511487435e-07
AST,6.66340364991489e-05
ATW,0.0015003028830130433
AUO,6.939308096989542e-07
BIL,0.000572732179983413
BKG,0.00016446595334861533
BKL,7.439538011515002e-06
BQK,0.00021528939190039453
BZN,0.0004857453662063225
CKB,4.916831420013348e-05
CRW,0.0017193423099255486
CWA,0.0012639126573048927
CYS,1.2706762141613474e-05
DHN,0.0004588200415972057
DLH,0.00046944537099350846
DOV,5.228438504216859e-05
EVV,0.0011517929097316067
EWN,0.0006803257031167054
EYW,0.0011606030735346075
FCA,0.00031715746510743806
FLO,0.0005117398931180789
GGG,0.00018224364643285135
GTR,0.00039066027791427095
HMN,7.086247094195073e-07
HOT,2.3901859572331736e-05
ILM,0.0022246516519354854
JAC,0.0005292160621852827
JAN,0.002410928392021486
LCH,0.0003832581512978489
LFT,0.0013028130981843065
LSE,0.0005161496129890418
LSF,8.782034940533904e-07
MEI,0.00023408955560990752
MKC,1.3162034948286007e-05
MLU,0.0010367025273309788
MOB,0.0020305115262307773
NEW,8.210986031915652e-07
NZC,2.360596631319197e-06
OAJ,0.0008047408776748061
PFN,0.0011270029820758614
PIA,0.0013766213998313342
PNS,0.003460305247312235
PUB,6.594534300370771e-06
SHD,8.086657955430526e-05
SPI,0.0006671305827083318
XNA,0.0038536957702139103
EAU,0.00020436144778422646
MQT,0.00044980098505834927
STE,2.965166359415782e-07
ATY,0.00011799175516128336
AUG,0.00018854159392960975
BWD,2.2586871397056197e-05
CDC,0.00011363001809646536
LAF,3.230633136865317e-06
SDM,1.303079581836035e-07
SSC,5.37997679983742e-07
BTL,2.8374037687429143e-07
IPT,0.00013156540664221078
ITH,0.0008023236352735402
AXN,5.217473052649086e-08
AZA,3.052317534524031e-05
CPR,0.0002235584645941347
EUG,0.0008884855703544422
FLG,0.0004143525111702783
ITO,0.00033217572054994044
MFR,0.0009168598672896136
RAP,0.00042690625893165596
TTN,9.966277508024887e-07
YUM,0.0005108863484893426
AZO,0.0011554343228444006
BAD,1.2567714031014505e-06
HIF,5.443098480042055e-08
LSV,1.3869615075012292e-06
LUF,6.368854954895874e-08
BDR,9.68818171100566e-06
LUK,3.3521288526749096e-06
PKB,6.7590636462701e-05
BFD,0.00010143946693621366
JHW,0.00011840783993952462
BFF,1.663367059119568e-06
DIK,1.4306014632082109e-06
GCC,3.929974290463346e-05
ISN,9.954704256418149e-07
LBF,1.3080497199951837e-05
BFL,0.0006078622944655457
CLM,6.096606703916655e-05
CVO,1.4231667636866257e-06
EIL,2.7198729594887633e-06
ELN,1.1557649579386274e-08
LKE,3.4797946931988507e-08
MWH,5.135725752122755e-05
OLM,1.1192361806306066e-08
PWT,5.604320275543695e-09
CIC,0.0003277425507867109
SBA,0.0017346158451266923
SBP,0.0006188588555346426
VIS,3.4578879019312864e-05
FWH,3.133715094678586e-07
ILG,6.294694865411324e-07
WRB,8.357081588956275e-07
LGU,1.3889690316171378e-06
EDF,3.598178833502497e-07
NZY,1.9467477294620973e-06
BIH,3.1968537966306903e-07
EAT,0.00012110219163806247
HLN,0.00023765591842070613
HVR,1.3517512322134087e-06
BJI,0.00020065025965640412
BRD,0.00024188580917072967
BKW,1.6143546098242406e-05
MVW,3.726596240773273e-06
ODW,4.7201477177937624e-07
BMG,2.7600431024908887e-06
MKL,3.057558764197652e-05
OWB,1.3061158333374317e-05
BOK,8.745468464880747e-08
OPF,5.111693119584308e-06
ORH,2.5797487387029235e-06
PDK,3.5978907211053493e-07
RKD,0.0002730785257327487
JMS,0.0001334964466269979
STC,9.80905106138419e-05
BRL,8.128767094379633e-05
DEC,0.00011795293583849781
GRI,0.00010376064298830928
TBN,0.00018080985396690886
BTM,8.188339788030503e-05
PIB,3.283291833948327e-05
TVC,0.0012267776834174993
ELM,0.0006511552231396182
BWG,1.7824626518593581e-06
HGR,0.00014105017938330559
LNS,0.0002583969646589635
NIP,4.923824485091823e-06
OCF,1.2060420279259134e-06
RDG,1.9831099453193044e-06
SBY,0.0004852561300477034
LWS,9.05789258102531e-05
CAD,6.24650213544441e-08
II2,4.4798270880254435e-08
CBE,1.4865649793825407e-05
SGU,0.0004416548943365127
SUX,0.0002337962282052791
EKA,1.7089661207562137e-05
CGI,7.518121421396307e-05
CHI,5.588174925630521e-06
IAB,4.663356795062258e-07
LAL,9.326713590124516e-08
MGW,4.427507236167218e-05
VCT,0.00020887743691648406
CLU,3.706836049009201e-08
RWI,7.64944649850558e-08
HOB,4.947253435480338e-08
OFF,4.990581072974446e-08
RIV,9.84502232717511e-07
PAH,0.00017015357138770555
RKS,5.0646597926140026e-05
SHR,3.6309093907349135e-08
CPS,4.5701373359678334e-07
SLE,6.249932182758243e-08
FFO,2.1075311936184985e-11
RIW,1.766656208368865e-09
OLS,4.0578064457256884e-07
DBQ,0.00039956396078755663
DDC,1.580085515994968e-06
GBD,3.912425592723941e-05
GCK,1.4605777102938395e-05
LBL,5.223094185696494e-07
DET,1.045735802160499e-13
FTW,1.006662807683703e-06
MCC,5.135412232585674e-07
ROW,0.00035225946973140737
WQM,9.433804269806122e-07
DMA,1.1960257329115258e-12
DPA,2.6215199223448495e-07
DQU,0.0
WFB,1.9980996597259162e-06
ESC,6.371724622609114e-05
IMT,0.00010636832446737878
MKG,0.00011584452615130906
DYS,6.368028101373425e-08
EAR,9.28861824559469e-06
HON,1.3772240728606951e-08
HYS,4.1344494547711874e-05
SFF,4.2915645180904567e-08
MIB,8.988569892510655e-13
EKO,9.820949949697416e-05
ELD,3.8605049792543224e-05
MOD,0.00013645379905385043
RBG,3.971346484790523e-05
JRB,7.583342810046093e-05
NQA,6.334872179731229e-07
TSS,0.00010457922264398229
FBK,2.4038952065682053e-07
MRI,1.0926392057156361e-08
LRU,9.392899191181075e-08
FDY,6.715947256614669e-10
PRC,9.077825506379283e-05
SCF,2.3888274069809546e-07
TMB,1.7240896731058593e-06
SOW,0.00011086522974755039
MCF,1.3623161830142696e-12
STF,8.693157650859821e-11
JLN,0.0001348477998181119
RSN,1.3332056747051774e-10
GDC,5.747577851264633e-07
JXN,2.0661480893195394e-11
LGD,6.013553870686221e-07
PDT,0.000115790074092026
RCA,1.57979616645375e-07
VWL,1.5543258824116333e-07
MI2,8.149871336668529e-08
S27,3.795099548208153e-08
GUS,3.3579736283073345e-09
GWO,0.0
MUO,7.311164071409859e-07
PAM,5.709085568258834e-07
HII,7.188917930945874e-05
HIK,1.6582318610244535e-06
HLG,1.8352654066451122e-07
SKF,8.825695222516835e-08
HRO,4.126746701961517e-05
HSH,0.0
HSI,8.139532386790085e-08
HVN,0.00028609278143332766
MQJ,2.5676906295699204e-07
ORL,2.5676906295699204e-07
LAM,3.6901958408108597e-07
STP,8.737771090899935e-07
VWH,3.6901958408108597e-07
MTN,3.043263875688956e-08
IPL,0.0001867761773288676
IRK,8.917272905687622e-05
JBR,4.1799950465029554e-05
SZL,3.826026303425576e-07
KDK,0.0
VEL,2.8147939538946736e-09
LMT,0.00015636748665566211
SCK,4.5457513789223984e-05
STS,0.0003245938351910481
OXR,0.00012079055031555204
FCM,4.1749900936254903e-07
MRC,2.011710919534152e-07
TIW,9.043745073662889e-13
VAD,1.4748082578361242e-11
PIH,0.00016355180967371925
MCE,3.608194229728452e-08
MDH,6.508200606184316e-07
MGY,0.0
NQX,2.280561517729015e-07
XXW,2.280561517729015e-07
ESN,1.7536849501828413e-10
MMT,0.0
KY3,3.537956883849131e-121
MS1,6.044352530953201e-09
OKK,6.71699299241683e-10
UIN,0.0001156645228270877
NJK,1.4652795838700153e-07
NPA,6.508200606184316e-07
SNS,1.8975173725153688e-07
SAC,1.7370443314800896e-07
CSV,1.6359593701139745e-10
OSH,0.0
PWK,3.3587963600396244e-07
PNE,0.0
PSF,0.0
PUC,1.6861111420501361e-09
RAC,1.303821009627105e-11
UVA,1.2336785275046284e-07
SBM,0.0
SHN,0.0
SKA,0.0
O85,8.745468464880747e-08
SRW,0.0
SSI,0.0
TIK,6.368028101373425e-08
MWC,2.354827868135822e-08
