MHK,AMW
FAR,PIA
DAL,PIA
PUB,PIA
CRW,PIA
BTV,PIA
PVD,PIA
GFK,PIA
ILN,PIA
SCK,PIA
AMA,PIA
BIL,PIA
SPS,PIA
RST,PIA
EVV,PIA
RNO,PIA
ADS,PIA
SFB,PIA
BTL,PIA
BMG,PIA
RFD,PIA
MWA,PIA
SUM,PIA
MHT,PIA
PNS,PIA
LAN,PIA
BFI,PIA
DQF,PIA
LCK,PIA
YUM,PIA
FTW,PIA
TOL,PIA
MCW,PIA
GPT,PIA
AZA,PIA
GTF,PIA
AVP,PIA
PVU,PIA
EKO,PIR
BIL,PIR
ABR,PIR
MSP,PIR
ATY,PIR
RAP,PIR
FSD,PIR
YIP,PIR
LBF,PIR
CYS,PIR
HON,PIR
BFF,PIR
MEM,PIR
JAX,PIR
TUS,PIR
GCC,PIR
BKX,PIR
SGF,PIR
ISN,PIR
PIR,PIR
PHX,PIR
DFW,PUB
EWR,PUB
AUS,PUB
RNO,PUB
MIA,PUB
BOS,PUB
PHX,PUB
OAK,PUB
BIS,PUB
JFK,PUB
IAH,PUB
DTW,PUB
ORD,PUB
PDX,PUB
SJC,PUB
LAS,PUB
ABQ,PUB
SAT,PUB
FSD,PUB
OKC,PUB
COS,PUB
STL,PUB
EKO,PUB
TUL,PUB
OMA,PUB
CLE,PUB
LGA,PUB
MCI,PUB
IND,PUB
CID,PUB
BWI,PUB
MCO,PUB
PHL,PUB
SLC,PUB
LBL,PUB
GGG,PUB
SHV,PUB
FOE,PUB
ABI,PUB
MDW,PUB
BMI,PUB
SPI,PUB
MSP,PUB
FSM,PUB
EVV,PUB
FMN,PUB
BNA,PUB
ATL,PUB
YIP,PUB
CMH,PUB
SEA,PUB
BIL,PUB
RAP,PUB
DSM,PUB
MSY,PUB
LAX,PUB
IAD,PUB
MEM,PUB
FWA,PUB
TPA,PUB
LIT,PUB
FLL,PUB
MVN,PUB
MKE,PUB
SNA,PUB
HYS,PUB
OGD,PUB
FAT,PUB
CLT,PUB
LEX,PUB
GCK,PUB
HUF,PUB
BFF,PUB
IPL,PUB
SAF,PUB
LBB,PUB
AMA,PUB
CLU,PUB
ICT,PUB
ALW,PUB
ELP,PUB
BUF,PUB
BHM,PUB
SUS,PUB
CVG,PUB
PIR,PUB
DAY,PUB
SCK,PUB
MFR,PUB
MKG,PUB
BFL,PUB
SBA,PUB
SDM,PUB
RST,PUB
SAN,PUB
HSV,PUB
LUK,PUB
PIA,PUB
EUG,PUB
GYY,PUB
RDD,PUB
DPA,PUB
SFO,PUB
LBF,PUB
DIK,PUB
FLG,PUB
MSN,PUB
MTJ,PUB
SAC,PUB
GRR,PUB
DDC,PUB
TOL,PUB
SLN,PUB
GJT,PUB
SHR,PUB
RFD,PUB
HOU,PUB
EAR,PUB
LNK,PUB
MCC,PUB
SGF,PUB
TUS,PUB
RDU,PUB
BRL,UIN
STL,UIN
CMI,UIN
ALO,UIN
MSN,UIN
PIA,UIN
SBN,UIN
SUX,UIN
MCI,UIN
SHV,UIN
ORD,UIN
BMI,UIN
SPI,UIN
EKO,UIN
MKE,UIN
SLC,UIN
YIP,UIN
IRK,UIN
MDW,UIN
MWA,UIN
DEC,UIN
PHL,UIN
RWI,RAC
GCK,RSN
STL,SLN
FOE,SLN
DFW,SLN
MCI,SLN
HYS,SLN
PHX,SLN
YIP,SLN
ELP,SLN
SFO,SLN
DTW,SLN
OGD,SLN
CLT,SLN
GSO,SLN
LEX,SLN
MHK,SLN
SAN,SLN
SJC,SLN
AVP,SLN
SVN,SLN
EKO,SLN
OMA,SLN
YUM,SLN
TUS,SLN
EUG,SLN
ORD,SLN
BZN,SLN
BUF,SLN
GJT,SLN
SLC,SLN
RDD,SLN
CMH,SLN
LAN,SLN
OLS,SLN
LAS,SLN
GBD,SLN
DDC,SLN
HSV,SLN
CPR,SLN
GYY,SLN
EWR,SLN
LAX,SLN
GRR,SLN
IND,SLN
ABE,SLN
SYR,SLN
CLE,SLN
FCA,SLN
TYS,SLN
RFD,SLN
BWI,SLN
MEM,SLN
OAK,SLN
GEG,SLN
DQF,SLN
ROA,SLN
MDW,SLN
GCK,SLN
LIT,SLN
SAT,SLN
BTV,SLN
EVV,SLN
SDM,SLN
TCM,SLN
DPA,SLN
CLU,SLN
NZY,SLN
MKE,SLN
IAD,SLN
MTN,SLN
PWK,SLN
FWA,SLN
BNA,SLN
CHS,SLN
AFW,SLN
BMG,SLN
BFI,SLN
RDU,SLN
BDL,SLN
BIF,SLN
MCC,SLN
DCA,SLN
MSP,SLN
GRI,SLN
CID,SLN
ITH,SLN
OKK,SLN
POU,SLN
PHL,SLN
LBL,SLN
ACY,SLN
MOB,SLN
MIA,SLN
ALO,SRC
MRC,SRC
IND,NC3
YIP,NC3
OMA,NC3
MIA,SSC
TUS,SSC
BAD,SSC
YIP,SUM
ICT,SSC
LUF,SSC
LSV,SSC
MSP,SSC
DFW,SSC
AUS,SSC
MIB,SSC
BUF,SUM
BWI,SSC
PFN,SSC
BHM,SUM
ORD,SSC
LRD,SUM
JFK,SSC
RFD,SSC
GSB,SSC
PAM,SSC
CVS,SSC
ABI,SSC
ANC,SSC
CAE,SSC
PHX,SSC
GRK,SSC
HNL,TCM
HIK,TCM
VAD,TCM
DFW,TCM
RIV,TCM
COS,GRF
LAX,TCM
MSP,TCM
BTL,TCM
IND,TCM
GTF,TCM
LIT,TCM
SCK,TCM
KTN,TCM
FAI,TCM
EDF,TCM
HOU,TCM
FAT,TCM
BGR,TCM
TUS,TCM
COS,TCM
SLC,TCM
SEA,TCM
OAK,TCM
MFR,TCM
LSV,TCM
NZY,TCM
AEX,TCM
MHR,TCM
SMF,TCM
BHM,TCM
FOE,TCM
LAW,TCM
ORD,TCM
BIF,TCM
DTW,TCM
SAN,TCM
RAP,TCM
RFD,TCM
CPR,TCM
YUM,TCM
MIA,TCM
GRK,TCM
PHX,TCM
NBG,TCM
SUX,TCM
XNA,TCM
RCA,TCM
MKE,TCM
BWI,TCM
JFK,TCM
BOS,TCM
DOV,TCM
HUF,TCM
IAH,TCM
PDX,TIW
ANC,TCM
LKE,TIW
LCK,TCM
MCO,TCM
MSN,TCM
AZA,TCM
ROA,TCM
SKF,TCM
POB,TCM
ABQ,TCM
ACT,TCM
TUS,TIW
FBK,TCM
ATL,TCM
SKA,TCM
BFI,TCM
DSM,TCM
OKC,TCM
OMA,TCM
MIB,TCM
RIC,TCM
SJC,TCM
PDX,TCM
CLT,TOL
BWI,TOL
PHL,TOL
ATL,TOL
ORD,TOL
DTW,TOL
GRR,TOL
DAY,TOL
DFW,TOL
PIT,TOL
FWA,TOL
CVG,TOL
LAN,TOL
JFK,TOL
MCO,TOL
AZO,TOL
STL,TOL
CAK,TOL
FNT,TOL
MSN,TOL
ATW,TOL
HNL,TOL
SBN,TOL
IAD,TOL
ANC,TOL
FAI,TOL
BOS,TOL
ERI,TOL
LAX,TOL
GSO,TOL
ROC,TOL
PVD,TOL
LEX,TOL
LAS,TOL
EWR,TOL
MSP,TOL
MCI,TOL
CLE,TOL
RIC,TOL
MKE,TOL
YIP,TOL
LRD,TOL
CMH,TOL
ALB,TOL
BUF,TOL
ABE,TOL
CWA,TOL
ELP,TOL
IND,TOL
RFD,TOL
MHR,TOL
MDT,TOL
EVV,TOL
BRO,TOL
LIT,TOL
XNA,TOL
TOL,TOL
ADS,TOL
GYY,TOL
OMA,TOL
BNA,TOL
AEX,TOL
CRW,TOL
BTV,TOL
CMI,TOL
MEM,TOL
TVC,TOL
JAX,TOL
FLL,TOL
SNA,TOL
GSP,TOL
CHA,TOL
SHV,TOL
CAE,TOL
MAF,TOL
PDX,TOL
SJC,TOL
SYR,TOL
BMI,TOL
OAJ,TOL
CHS,TOL
BGM,TOL
MQT,TOL
SAN,TOL
MDW,TOL
IAH,TOL
MOB,TOL
RNO,TOL
TPA,TOL
TUL,TOL
BDL,TOL
ROA,TOL
MBS,TOL
BFI,TOL
RDU,TOL
COU,TOL
PHX,TOL
ICT,TOL
SFB,TOL
MSO,TOL
LCK,TOL
SFO,TOL
SLC,TOL
PBI,TOL
TYS,TOL
LGA,TOL
RAP,TOL
BKL,TOL
SEA,TOL
SCE,TOL
OKC,TOL
ACY,TOL
LEX,TDZ
CID,TOL
DCA,TOL
MIA,TOL
ABY,TDZ
ABY,TOL
EKO,TOL
BFM,TOL
FTW,TOL
FAT,TOL
ELM,TOL
AUS,TOL
MRC,TOL
IRS,TOL
AVL,TOL
BQK,TOL
ABQ,TOL
SGF,TOL
MYR,TOL
HSV,TOL
HSV,TDZ
LSV,TOL
DSM,TOL
HOU,TOL
DBQ,TOL
PWK,TDZ
BGR,TOL
FOE,TOL
MKL,TOL
LCH,TOL
CRP,TOL
NZC,TOL
TN6,TOL
LIT,TDZ
TLH,TOL
YNG,TOL
SLN,TOL
MIB,TOL
MGM,TOL
LYH,TOL
DRT,TOL
LAF,TOL
SAV,TOL
GPT,TOL
ISO,TOL
CHO,TOL
COS,TOL
SUS,TOL
MFD,TOL
ILG,TOL
MKC,TOL
RWI,TOL
SAT,TOL
SPI,TOL
PGD,TOL
OKK,TOL
ITH,TOL
TUS,TOL
APN,TOL
HIF,TOL
AGS,TOL
FDY,TOL
ILN,TOL
DHN,TOL
BIS,TOL
IND,FOE
SLC,FOE
COU,FOE
PIA,FOE
SLN,FOE
EKO,FOE
STL,FOE
OAK,FOE
EVV,FOE
DEC,FOE
DTW,FOE
CMH,FOE
SPI,FOE
MCI,FOE
CRW,FOE
CVG,FOE
BNA,FOE
CAK,FOE
GYY,FOE
MIA,FOE
MSP,FOE
GJT,FOE
ATL,FOE
DSM,FOE
ORD,FOE
LBL,FOE
YIP,FOE
CYS,FOE
DOV,FOE
SGF,FOE
PIT,FOE
SAN,FOE
MHK,FOE
LIT,FOE
SWO,FOE
LAX,FOE
LNK,FOE
MFR,FOE
TUL,FOE
ACT,FOE
RNO,FOE
HYS,FOE
BGR,FOE
DFW,FOE
LSE,FOE
LBB,FOE
LAN,FOE
MCO,FOE
LAR,FOE
CLL,FOE
OKC,FOE
MSY,FOE
GCK,FOE
ABQ,FOE
BWI,FOE
DAL,FOE
MIE,FOE
TPA,FOE
AUS,FOE
PHL,FOE
LAS,FOE
MKE,FOE
MAF,FOE
PHX,FOE
ICT,FOE
SHV,FOE
JFK,FOE
LEX,FOE
AEX,FOE
EWR,FOE
SCE,FOE
LBF,FOE
FLL,FOE
BMG,FOE
CID,FOE
MSN,FOE
BOS,FOE
TCM,FOE
PUB,FOE
RFD,FOE
CLT,FOE
CLE,FOE
RIV,FOE
GLH,FOE
GRK,FOE
GPT,FOE
RDU,FOE
AMA,FOE
CAE,FOE
BTR,FOE
ABE,FOE
SJC,FOE
FOE,FOE
AHN,FOE
IAH,FOE
SAT,FOE
IAD,FOE
SBN,FOE
SVN,FOE
ALO,FOE
TYS,FOE
MEM,FOE
ELP,FOE
ELP,TUS
IAH,TUS
ORD,TUS
DFW,TUS
FAT,TUS
LAS,TUS
SJC,TUS
PIT,TUS
STL,TUS
BNA,TUS
PHX,TUS
MCO,TUS
LNK,TUS
SLC,TUS
SFO,TUS
OKC,TUS
MSP,TUS
LAX,TUS
ABQ,TUS
MCI,TUS
CID,TUS
IND,TUS
SAT,TUS
PDX,TUS
CLT,TUS
BWI,TUS
ATL,TUS
DTW,TUS
EKO,TUS
AUS,TUS
PHL,TUS
SNA,TUS
MKE,TUS
DSM,TUS
MEM,TUS
MAF,TUS
SEA,TUS
ICT,TUS
AMA,TUS
FSD,TUS
TUL,TUS
OMA,TUS
PUB,TUS
EWR,TUS
COS,TUS
LIT,TUS
OAK,TUS
SAN,TUS
CVG,TUS
JFK,TUS
HOU,TUS
LRD,TUS
BOS,TUS
CMH,TUS
MDW,TUS
BSM,TUS
ABI,TUS
DAY,TUS
RNO,TUS
LCK,TUS
YIP,TUS
JAN,TUS
BDL,TUS
TUS,TUS
SMF,TUS
PVD,TUS
MKC,TUS
MSY,TUS
ADS,TUS
MIA,TUS
PIA,TUS
GRF,TUS
SLN,TUS
CVS,TUS
EUG,TUS
AFW,TUS
FTW,TUS
BGR,TUS
YUM,TUS
TYR,TUS
ART,TUS
MGM,TUS
LSV,TUS
MSN,TUS
LWS,TUS
BRO,TUS
AVL,TUS
FCA,TUS
TYS,TUS
FAI,TUS
MHK,TUS
NZY,TUS
RCA,TUS
HMN,TUS
FSM,TUS
AEX,TUS
BHM,TUS
HIF,TUS
RDM,TUS
PVU,TUS
ACT,DMA
TCM,TUS
SSC,TUS
TUS,DMA
DAL,TUS
LAW,TUS
GFK,TUS
ILG,TUS
IAD,TUS
BTR,TUS
GTF,TUS
SJT,TUS
POB,TUS
BTL,TUS
BFI,TUS
RDU,TUS
GEG,TUS
CYS,TUS
GRK,TUS
LBB,TUS
MFR,TUS
GGG,TUS
BIF,TUS
DLF,TUS
YKM,TUS
TOL,TUS
DMA,TUS
SVN,TUS
SAF,TUS
CLE,TUS
MWH,TUS
FWA,TUS
LSV,DMA
RST,DMA
RIV,TUS
LEX,TUS
LSF,TUS
OLS,TUS
PBI,TUS
GJT,TUS
OAJ,TUS
BAD,TUS
BFL,TUS
BAD,DMA
POB,DMA
SZL,TUS
SGF,TUS
NBG,TUS
ILN,TUS
HOT,TUS
SHV,TUS
BWI,DMA
AZO,TUS
LAF,TUS
RIC,TUS
EFD,TUS
DYS,TUS
MOB,TUS
HLN,TUS
FWH,TUS
HON,TUS
TIK,TUS
RAP,TUS
HSV,TUS
BTV,TUS
NKX,TUS
GPT,TUS
MSO,TUS
ABR,TUS
CAE,TUS
RDD,TUS
BIS,TUS
DQF,TUS
BIL,TUS
SKA,TUS
ROA,TUS
OGG,TUS
GNV,TUS
PIB,TUS
PAM,TUS
FLG,TUS
VGT,TUS
CDC,TUS
TPA,TUS
ACT,TUS
CPR,TUS
FLL,TUS
SBP,TUS
MUO,TUS
CLL,TUS
SKF,TUS
SKF,DMA
DCA,TUS
CHA,TUS
CMH,DMA
PUW,TUS
LAR,TUS
DLH,TUS
MIE,TUS
MCF,TUS
APC,TUS
RFD,TUS
SAV,TUS
NJK,TUS
LRU,TUS
MHT,TUS
GSP,TUS
PNS,TUS
RST,TUS
MBS,TUS
AZA,TUS
COS,DMA
ANC,TUS
VAD,TUS
RFD,DMA
BUF,TUS
FOE,TUS
CWA,TUS
MOT,TUS
SBA,TUS
HMN,DMA
LUF,TUS
LAN,TUS
HNL,TUS
MCI,TUP
YIP,TUP
CSG,TUP
MEM,TUP
GTR,TUP
ATL,TUP
PIB,TUP
BTR,TUP
PFN,TUP
XNA,TUP
MIA,TUP
LEX,TUP
BHM,TUP
HSV,TUP
LFT,TUP
TUL,TUP
FYV,TUP
GNV,TUP
NEW,TUP
TLH,TUP
CHA,TUP
EVV,TUP
CVG,TUP
BIF,TUP
ORD,TUP
CAE,TUP
CMH,TUP
TYS,TUP
AEX,TUP
GSP,TUP
MGM,TUP
AHN,TUP
LRD,TUP
MLU,TUP
BOS,TUP
PAH,TUP
COU,TUP
BNA,TUP
GSO,TUP
GLH,TUP
DFW,TUP
AVL,TUP
PHX,TUP
LAN,TUP
SFB,TUP
DSM,TUP
CHS,TUP
AUS,TUP
MOB,TUP
OKC,TUP
DTW,TUP
JAN,TUP
GPT,TUP
CLE,TUP
CLT,TUP
TCL,TUP
CHO,TUP
PNS,TUP
RDU,TUP
SAT,UVA
RKS,VEL
SLC,VEL
CPR,VEL
GJT,VEL
FMN,VEL
LAR,VEL
GRB,CWA
OSH,CWA
MCO,CWA
ATW,CWA
ORD,CWA
MQT,CWA
CPR,CWA
SLC,CWA
BFF,CWA
LSE,CWA
EKO,CWA
MKE,CWA
MSN,CWA
RFD,CWA
ESC,CWA
RAP,CWA
AZO,CWA
MSP,CWA
MSY,CWA
TVC,CWA
LBF,CWA
DTW,CWA
OMA,CWA
PIA,CWA
MKG,CWA
EAU,CWA
BJI,CWA
DSM,CWA
RST,CWA
YIP,CWA
MEM,CWA
CWI,CWA
BIS,CWA
LAS,CWA
SFB,CWA
LNK,CWA
ICT,CWA
ABR,CWA
MHT,CWA
ALB,CWA
MIA,CWA
DAY,CWA
CLT,CWA
IAD,CWA
SBN,CWA
IMT,CWA
MDW,CWA
ELP,CWA
RST,STE
PIB,CWA
RDU,CWA
GYY,CWA
RNO,CWA
CWA,CWA
CLE,CWA
BHM,CWA
IND,CWA
ACY,CWA
IAH,CWA
FWA,CWA
BTV,CWA
BNA,CWA
ERI,CWA
GPT,CWA
XNA,CWA
TUS,CWA
FSM,CWA
CVG,CWA
ATW,STE
MEM,STE
LAN,CWA
ATL,CWA
OKC,CWA
TUL,CWA
DLH,CWA
MCI,CWA
SGF,CWA
FSD,CWA
TYS,CWA
STL,CWA
PIT,CWA
LEX,CWA
LWS,YKM
GEG,YKM
SEA,YKM
PUW,YKM
PDX,YKM
FCA,YKM
CLM,YKM
PDT,YKM
BLI,YKM
EAT,YKM
EUG,YKM
DFW,YKM
SLE,YKM
ALW,YKM
MSP,YKM
ANC,YKM
EKO,YKM
MWH,YKM
SJC,YKM
PHX,YKM
LAX,YKM
SNA,YKM
RDD,YKM
BIL,YKM
SFO,YKM
CVG,YKM
SMF,YKM
MFR,YKM
BZN,YKM
YKM,YKM
HNL,YKM
HLN,YKM
ATL,YKM
RNO,YKM
RDM,YKM
YUM,YKM
GTF,YKM
IAH,YKM
MSO,YKM
TWF,YKM
ABQ,YKM
PIH,YKM
FAT,YKM
OAK,YKM
ELP,YKM
FWA,YKM
SAN,YKM
PIA,YKM
AMA,YKM
MCI,YKM
IDA,YKM
RAP,YKM
STL,YKM
AUS,YKM
TUS,YKM
BOS,YKM
POB,YKM
GFK,YKM
GRR,YKM
NZY,YKM
ORD,YKM
OMA,YKM
CAK,YKM
SYR,YKM
JFK,YKM
SLC,YKM
MEM,YKM
ABI,YKM
PDX,ABI
MAF,ABI
RNO,ABI
TPA,ABI
IND,ABI
LIT,ABI
MSY,ABI
STL,ABI
SNA,ABI
FLL,ABI
PBI,ABI
ORD,ABI
ATL,ABI
TUL,ABI
TUS,ABI
SJC,ABI
BDL,ABI
COS,ABI
ABQ,ABI
BFL,ABI
HSV,ABI
DSM,ABI
CVG,ABI
SMF,ABI
ELP,ABI
DFW,ABI
MSP,ABI
SEA,ABI
ICT,ABI
OAK,ABI
SFO,ABI
OKC,ABI
BNA,ABI
ILE,ABI
ACT,ABI
LRD,ABI
EWR,ABI
SGF,ABI
SJT,ABI
SAT,ABI
LAS,ABI
CRP,ABI
SLC,ABI
FAT,ABI
SAN,ABI
GSO,ABI
AMA,ABI
PHX,ABI
BPT,ABI
LBB,ABI
MCO,ABI
RIC,ABI
LAX,ABI
DTW,ABI
BHM,ABI
EKO,ABI
MIA,ABI
AUS,ABI
DAY,ABI
LAW,ABI
MCI,ABI
RDU,ABI
GTR,ABI
LGA,ABI
CLT,ABI
JAX,ABI
CLL,ABI
IAH,ABI
FSM,ABI
BOS,ABI
OMA,ABI
SHV,ABI
IAD,ABI
DCA,ABI
BWI,ABI
GJT,ABI
SPS,ABI
EAU,ABI
PIT,ABI
LFT,ABI
HOU,ABI
MGM,ABI
AEX,ABI
PHL,ABI
DAL,ABI
GRR,ABI
JAN,ABI
TYS,ABI
MDW,ABI
FWA,ABI
CMH,ABI
MSN,ABI
BTR,ABI
CID,ABI
MEM,ABI
SAV,ABI
JFK,DYS
GSP,ABI
MKE,ABI
GRK,ABI
HNL,DYS
SFB,ABI
XNA,ABI
BWD,ABI
AFW,ABI
BGR,DYS
PIA,ABI
LSV,DYS
BGS,ABI
ILN,ABI
MDT,ABI
PNS,ABI
LEX,ABI
COS,DYS
TUS,DYS
MOB,ABI
MTJ,ABI
ROW,ABI
CAE,ABI
CLE,ABI
CMI,ABI
CHS,ABI
RCA,DYS
GPT,ABI
LTS,ABI
SWW,ABI
CHA,ABI
STJ,ABI
SBA,ABI
FNT,ABI
TYR,ABI
SEA,DYS
PHX,DYS
BMI,ABI
YKM,ABI
YIP,AOO
JST,AOO
PIT,AOO
SCE,AOO
JHW,AOO
IAD,AOO
HNL,AWX
YIP,ADM
ELP,ADM
STL,ADM
DFW,ADM
LRD,ADM
MCI,ADM
SAT,ADM
ADS,ADM
CLT,ADM
BWI,ADM
PDX,ADM
ILN,ADM
BOS,ADM
ADM,ADM
PHX,ADM
MCO,ADM
SFO,ADM
LEX,ADM
SEA,AST
PDX,AST
BFI,AST
SYR,ATL
SAV,ATL
RIC,ATL
ABE,ATL
PWM,ATL
AVP,ATL
PDX,ATL
LAS,ATL
TYS,ATL
BWI,ATL
CLT,ATL
CLE,ATL
AVL,ATL
DAY,ATL
EWR,ATL
DFW,ATL
MOB,ATL
MLU,ATL
TOL,ATL
TUL,ATL
ALB,ATL
CAK,ATL
BOS,ATL
MIA,ATL
AUS,ATL
TPA,ATL
MCN,ATL
RNO,ATL
BGR,ATL
OMA,ATL
HSV,ATL
GSO,ATL
CHS,ATL
FWA,ATL
MGM,ATL
CVG,ATL
PIT,ATL
BHM,ATL
MDT,ATL
GSP,ATL
PVD,ATL
STL,ATL
LEX,ATL
MKE,ATL
BNA,ATL
ROC,ATL
PNS,ATL
BUF,ATL
ORD,ATL
AGS,ATL
MDW,ATL
IAH,ATL
HOU,ATL
DTW,ATL
ELP,ATL
SEA,ATL
CAE,ATL
CMH,ATL
ICT,ATL
RDU,ATL
ROA,ATL
CSG,ATL
BDL,ATL
HNL,ATL
JFK,ATL
LGA,ATL
MCO,ATL
PHX,ATL
MEM,ATL
JAN,ATL
LNK,ATL
JAX,ATL
SLC,ATL
PHL,ATL
SFO,ATL
OKC,ATL
CRP,ATL
PBI,ATL
FLL,ATL
COS,ATL
MSY,ATL
TLH,ATL
SAT,ATL
MSP,ATL
IND,ATL
GRR,ATL
MCI,ATL
LIT,ATL
LAX,ATL
IAD,ATL
DCA,ATL
SHV,ATL
ABQ,ATL
BTR,ATL
CHA,ATL
GNV,ATL
PFN,ATL
CID,ATL
SAN,ATL
ANC,ATL
BIF,ATL
AMA,ATL
GEG,ATL
AZO,ATL
FSD,ATL
MYR,ATL
OAJ,ATL
FAY,ATL
ILM,ATL
GTR,ATL
MEI,ATL
FLO,ATL
GPT,ATL
VLD,ATL
BQK,ATL
DHN,ATL
ABY,ATL
EVV,ATL
CRW,ATL
ATL,ATL
LYH,ATL
TUS,ATL
LRD,ATL
YIP,ATL
LBB,ATL
LFT,ATL
RAP,ATL
SNA,ATL
ESF,ATL
AEX,ATL
DSM,ATL
GJT,ATL
SBN,ATL
SJC,ATL
FNT,ATL
AHN,ATL
GYY,ATL
SMF,ATL
MBS,ATL
BMI,ATL
BSM,ATL
DET,ATL
YIP,PDK
XNA,ATL
BRO,ATL
GTF,ATL
MHT,ATL
CKB,ATL
BUF,PDK
CHO,ATL
BRO,PDK
BMG,ATL
SFB,ATL
MKG,ATL
OPF,ATL
DAL,ATL
LRD,PDK
LEX,PDK
ORH,ATL
MEM,PDK
OAK,ATL
MSN,ATL
FSM,ATL
PIA,ATL
AFW,ATL
FTW,ATL
DFW,PDK
TUP,ATL
ACT,ATL
LCH,ATL
TVC,ATL
EFD,ATL
PDK,ATL
ATL,PDK
DET,PDK
ANB,ATL
EYW,ATL
JAC,ATL
SVN,ATL
LSE,ATL
CMI,ATL
RWI,ATL
SBN,PDK
ILN,ATL
ILG,ATL
TCL,ATL
PIB,ATL
PGV,ATL
BTV,ATL
MFD,PDK
YIP,FTY
BFR,ATL
MIA,PDK
DOV,ATL
AFW,PDK
MLU,PDK
ITH,ATL
CLL,ATL
SCE,ATL
OKC,PDK
MCI,FTY
WGO,ATL
SGF,ATL
IND,PDK
OGG,ATL
GRK,ATL
ATW,ATL
MBS,PDK
LCK,ATL
HIK,ATL
BKL,ATL
GRB,ATL
CLE,PDK
ALO,ATL
RFD,ATL
RFD,PDK
UCA,ATL
BFM,ATL
APF,ATL
ROC,PDK
BNA,PDK
SUS,ATL
CVG,PDK
LUK,PDK
DTW,PDK
NQX,ATL
COU,ATL
BFI,ATL
SPS,ATL
SPS,PDK
POB,ATL
FYV,ATL
MKC,ATL
ZZV,PDK
SHV,PDK
SUX,ATL
LIT,PDK
GDC,ATL
ATY,FTY
ATY,PDK
VAD,ATL
TOL,PDK
TCM,ATL
FOE,ATL
PBI,PDK
ACY,ATL
KY5,PDK
KY5,ATL
NZC,ATL
HOU,PDK
ATL,FTY
BZN,ATL
DPA,ATL
HKY,ATL
BPT,ATL
LAN,ATL
ISO,ATL
ISM,PDK
TTN,ATL
BRD,PDK
RDU,PDK
MTJ,ATL
EDF,ATL
FAI,ATL
HOT,ATL
ILG,FTY
CEV,ATL
MHK,ATL
BGM,ATL
HLM,ATL
ABI,ATL
ERI,ATL
CPR,ATL
EUG,ATL
PNE,PDK
SWO,ATL
BAD,ATL
MSY,PDK
EWN,ATL
JAC,FTY
CLU,ATL
CYS,ATL
DQF,ATL
BFI,PDK
LAF,ATL
FCA,ATL
RNO,FTY
PVU,ATL
OCF,ATL
ADS,ATL
MWA,ATL
FAT,ATL
PIT,PDK
BTV,PDK
MDW,PDK
PHX,FTY
NQA,ATL
ACY,FTY
SFO,PDK
WQM,ATL
YNG,ATL
LAW,ATL
MIE,ATL
SSC,ATL
OPF,PDK
FAR,ATL
BOS,PDK
SLN,ATL
BKG,ATL
BIL,ATL
LSF,ATL
MTN,PDK
SHD,ATL
MCO,AGS
JFK,AGS
CAE,AGS
RDU,AGS
CMH,AGS
GSO,AGS
CHS,AGS
GSP,AGS
PVD,AGS
ATL,AGS
DCA,AGS
IAD,AGS
RIC,AGS
SAV,AGS
CLT,AGS
CLE,AGS
BWI,AGS
FLL,AGS
PHL,AGS
JAX,AGS
ALB,AGS
TPA,AGS
DAY,AGS
MOB,AGS
HOU,AGS
CSG,AGS
PNS,AGS
PBI,AGS
TYS,AGS
MEM,AGS
MLU,AGS
EWR,AGS
GNV,AGS
TLH,AGS
PIT,AGS
BOS,AGS
MIA,AGS
FLO,AGS
CRW,AGS
CVG,AGS
BUF,AGS
LIT,AGS
SAT,AGS
AVL,AGS
BGR,AGS
MCN,AGS
BDL,AGS
JAN,AGS
ROA,AGS
STL,AGS
LEX,AGS
OAJ,AGS
MYR,AGS
SLC,AGS
LAX,AGS
FAY,AGS
CHA,AGS
SYR,AGS
VLD,AGS
OMA,AGS
ILM,AGS
MGM,AGS
ABY,AGS
LGA,AGS
HSV,AGS
SNA,AGS
BQK,AGS
TOL,AGS
ORD,AGS
IAH,AGS
DTW,AGS
FWA,AGS
COS,AGS
MSP,AGS
PWM,AGS
SJC,AGS
MEI,AGS
YIP,AGS
OKC,AGS
DFW,AGS
LYH,AGS
DHN,AGS
AMA,AGS
NQA,AGS
MHT,AGS
BHM,AGS
ACY,AGS
SFB,AGS
LRD,AGS
ELP,AGS
IND,AGS
MKE,AGS
BNA,AGS
AUS,AGS
PHX,AGS
ICT,AGS
ROC,AGS
LAS,AGS
XNA,AGS
SHV,AGS
BTR,AGS
LSE,AGS
PDX,AGS
ABE,AGS
BWG,AGS
TUL,AGS
FNT,AGS
CAK,AGS
MDW,AGS
GTR,AGS
ATW,AGS
SEA,AGS
ISO,AGS
BGM,AGS
MDT,AGS
SAN,AGS
CHO,AGS
MSY,AGS
GPT,AGS
OAK,AGS
CWA,AGS
ERI,AGS
GRR,AGS
SFO,AGS
RNO,AGS
GRK,AGS
SMF,AGS
FXE,AGS
BZN,AGS
EWN,AGS
BDR,AGS
PFN,AGS
BMI,AGS
SBN,AGS
EYW,AGS
BOS,AUG
MHT,AUG
RKD,AUG
LGA,AUG
BTV,WVL
BDR,AUG
BGR,AUG
DET,WVL
MSP,BKW
MDW,BKW
IAD,BKW
CRW,BKW
PIT,BKW
YIP,BKW
IND,BKW
PKB,BKW
